Entries (What does the text say?),Classification,Intensity (1-3)
I have a keen interest in artificial intelligence and I'm eager to delve deeper into the subject,Machine Learning,2
I was the mechanical captain of my high school's robotics team and I'm eager to continue similar activities,Robotics,2
I thoroughly enjoyed being the secretary of my high school club and I'm keen on taking up similar roles,Student Government,2
I possess experience in various engineering disciplines and I'm eager to explore more opportunities,Engineering Frat,2
I was a journalist for my school newspaper and I'm eager to continue honing my writing skills,Media,2
I was class president for three years in high school and I'm eager to assume similar leadership positions,Student Government,2
I have a foundation in finance and now I'm eager to delve into specific areas within the field,Finance,2
I'm a sophomore looking to utilize my skills from ECE to contribute to robotics projects,Robotics ,2
I'm deeply passionate about art and I'm eager to connect with fellow art enthusiasts,Art,2
I'm a sophomore majoring in computer science and I'm eager to participate in machine learning projects,Computer science,2
I'm keen on finding a service organization where I can make regular contributions,Community Service ,2
I'm interested in joining a club for Muslims to explore my faith and engage in community events,Religious/Spiritual,2
I've been exploring different dance styles for a while and now I'm interested in joining a dance club,Dance,2
I've been learning about various art techniques and I'm eager to practice them with others,Arts,2
I've been following sports for a long time and I'd like to join a sports club to play casually,Sports,2
I've been studying computer science and now I'm looking for a club to apply my skills,Computer Science,2
I've been reading about finance and now I'm interested in joining a finance-focused group,Finance,2
I've been interested in medicine and now I want to join a club to learn more about it,Medicine,2
I've been enjoying volunteering and now I'm looking for more opportunities to get involved,Community Service,2
I've been practicing my language skills and now I want to join a language exchange club,Language,2
I've been playing music as a hobby and now I'm looking for a club to jam with others,Music,2
I've been studying robotics and now I'm interested in joining a robotics club,Robotics,2
I've been watching debates online and now I'm interested in joining a debate club,Debate,2
I've been interested in astronomy and now I'm looking for a club to stargaze with,Astronomy,2
I've been interested in economics and now I'm looking for a club to discuss economic issues,Economics,2
I've been watching gaming streams and now I'm interested in joining a gaming club,Gaming,2
I've been learning about different cultures and now I'm interested in joining a cultural club,Cultural,2
I've been interested in social justice and now I'm looking for a club to advocate for change,Community Service,2
I've been studying business and now I'm interested in joining a business-focused club,Business,2
I've been studying computer science and now I'm interested in joining a coding club,Computer Science,2
I've been reading about different religions and now I'm interested in joining a spiritual club,Religious/Spiritual,2
I've been watching dance videos and now I'm interested in joining a dance club,Dance,2
I've been cooking at home and now I'm interested in joining a cooking club,Eating,2
I've been interested in media production and now I'm looking for a club to learn more about it,Media,2
I've been interested in tutoring and now I'm looking for opportunities to help others,Tutoring,2
I've been studying engineering and now I'm interested in joining an engineering club,Engineering,2
I've been learning about different ethnicities and now I'm interested in joining an ethnic club,Ethnic,2
I've been interested in gaming and now I'm looking for a club to play games with others,Gaming,2
I've been interested in dance and now I'm looking for a club to practice with other dancers,Dance,2
I've been interested in politics and now I'm looking for a club to discuss political issues,Debate,2
I've been studying language and now I'm interested in joining a language club,Language,2
I've been interested in music and now I'm looking for a club to play music with others,Music,2
I've been learning about finance and now I'm interested in joining a finance club,Finance,2
I've been interested in medicine and now I'm looking for a club to explore medical topics,Medicine,2
I've been interested in community service and now I'm looking for a club to volunteer with,Community Service,2
I've been studying robotics and now I'm interested in joining a robotics team,Robotics,2
I've been interested in economics and now I'm looking for a club to learn more about it,Economics,2
I've been interested in gaming and now I'm looking for a club to play games with others,Gaming,2
I've been studying language and now I'm interested in joining a language exchange club,Language,2
I've been interested in music and now I'm looking for a club to play music with others,Music,2
I've been learning about business and now I'm interested in joining a business club,Business,2
I've been studying computer science and now I'm interested in joining a coding club,Computer Science,2
I've been interested in spirituality and now I'm looking for a club to explore spiritual topics,Religious/Spiritual,2
I've been interested in dance and now I'm looking for a club to practice with other dancers,Dance,2
I participated in several business competitions previously and want to engage in similar activities.,Business,3
"I really want to learn more about robotics, I have lots of past experience ",Robotics,3
I have taken several accounting courses already and want to apply my skills. ,Accounting,3
I love food and want to surround myself with people with a similar interests.,Food,3
I played soccer all throughout high school and want to join a school team.,Sports,3
I have studied medicine throughout high school and want to get involved in a medicine club at school.,Medicine,3
I have done 4 years of robotics in high school and would like to continue in college.,Robotics,3
I have played varsity soccer and would like to find ways to continue to play.,Sports,3
I have played the saxophone for 7 years and would like to join a band.,Arts,3
I am an accounting major and would like to join some clubs related to my major.,Accounting,3
I have done Model UN in high school and would like to join similar RSO's.,Political,3
I am native american and want to be more active in the on campus native american community,Native American,3
I was on the debate team in highschool and would want to continue that here,Debate,3
I have worked as the editor in chief of my high school newspaper and would like to do similar activities.,Media,3
I have a high GPA and have junior standing so I want to join an honors society,Honors,3
I've been involved in student government and debate for years and want to continue at university,Political,3
I was president of the astronomy club at my highschool and would like to do similar activities.,Astronomy,3
I'm heavily interested in Latin American culture and have had past expiereince reasearching its culture.,Latin America,3
I'm interested in literature and and have been seriously writing for four years,Arts,3
I'm very extroverted and am interested in joining a frat,Social Frats,3
I have been powerlifting for 3 years and would like to continue,Fitneess,3
I want to enter an esports team.,Gaming,3
I am Chinese and want to interact with the Chinese community on campus,Culture,3
I am Indian and want to interact with the Indian community on campus,Culture,3
I am Vietnamese and want to interact with the Vietnamese community on campus,Culture,3
I am African American and want to interact with the African American community on campus,Culture,3
I am Taiwanese and want to interact with the Taiwanese community on campus,Culture,3
I am Korean and want to interact with the Korean community on campus,Culture,3
I am South American and want to interact with the South American community on campus,Culture,3
I am Central American and want to interact with the Central American community on campus,Culture,3
I am Latino and want to interact with the Latino community on campus,Culture,3
I am Japanese and want to interact with the Japanese community on campus,Culture,3
I love to watch Anime and read Manga and want to talk to others about it.,Media,3
I enjoy reading books and want to discuss them more with others.,Media,3
"I really want to be a politician, I love leading my team whenever I get the chance",Student Government,3
"I like more rigorous physical activity, especially involving exercise",Sports,3
I work with crypotcurrency a lot and login credentials,Blockchain,3
I was the president of a flew clubs back in high school,Student Government,3
I participated on behalf of quite a few sports teams in high school,Sports,3
"I love drawing, painting, and sculpting!",Art,3
"I have lots of experience when it comes to football, I'm pretty passionate about it",Sports,3
I love being the president of my high school club!,Student Government,3
"I'm a Christian who has been involved with the Church since I was a child, I want to get heavily involved in a religious community",Religious/Spiritual,3
"I used to play soccer in highschool, is there a club soccer league that I can join",Sports,3
I'm a Junior looking to gain connections and important knowledge in consulting doing mock write-ups,Consulting,3
"I've been in competative dance all of high school and middle school, where can I find a competition dance team",Dance,3
Where can I go to get more experience in making news reports and connecting with professionals in the sphere,Media,3
"I'm looking to run for student body president eventually, where can I get involved quickest",Student Government,3
"Looking to find people who can help with my startup, making connections with potential investors",Business,3
What organizations can help me go on mission trips?,Religious/Spiritual,3
"I've been playing baseball my whole life, what are some leagues that will provide me good competition?",Sports,3
"I want to take a part-time volunteer position at a local senior center, where can I find more info?",Community Service ,3
What organizations can enable me to teach others about my culture?,Ethnic,3
"I'm a senior looking for connections at top companies, what are some pretigious organizations?",Business,3
"I already have experience building smaller robots, what teams do robot competitions?",Engineering,3
"I recently took a quantumn computational class, where can I get involved in research?",Computer science,3
I want to rush and join a top frat.,Social Frat,3
I love to make short films and am looking to direct a crew for making one,Media,3
I've worked at a hospital before and I would like to volunteer at a local hospital,Medicine,3
What special programs are available to honors students at UIUC,Honors,3
"I'm interested in apply for a position dealting with student govenment, where should I go to learn more?",Student Government,3
"I'm a freshman that was a part of my robotics team in highschool, where can I go on campus to get involved with UIUC's robots program?",Robotics,3
I'm a very experience transfer student looking to develop software in a meaningful way. Are there any groups on campus that can facilitate this?,Computer Sience,3
"I'm looking to invest into cryptocurrency, are there any groups around here that are experienced in the field?",Blockchain,3
"I'm looking to practice spanish for my midterm next week, are there any groups on campus that can help me practice?",Language,3
I'm a very skilled dancer looking to join a group of dancers for a large performance,Dance,3
"I've learned about a lot of medicine thoery, now I'm looking to apply myself and practice the thoery. Where can I go?",Medicine,3
I've been actively participating in business competitions and I'm seeking similar engagements.,Business,3
"I'm eager to delve deeper into the field of robotics, drawing from my extensive past experience.",Robotics,3
"After completing several accounting courses, I'm enthusiastic about applying my skills in practical settings.",Accounting,3
I have a profound love for food and I'm keen on connecting with others who share this passion.,Eating,3
"Having played soccer throughout high school, I'm interested in continuing my journey with a school team.",Sports,3
I've studied medicine extensively in high school and now I'm eager to get involved in a medicine-related club.,Medicine,3
"With four years of robotics experience in high school, I'm looking to continue my robotics journey in college.",Robotics,3
"As someone who played varsity soccer, I'm determined to find avenues to keep playing.",Sports,3
"After seven years of playing the saxophone, I'm eager to collaborate with other musicians in a band setting.",Music,3
"As an accounting major, I'm interested in joining clubs that align with my field of study.",Accounting,3
"Model UN has been a significant part of my high school experience, and I'm eager to continue in similar RSOs.",Debate,3
I'm deeply interested in Latin American culture and have conducted extensive research on it.,Cultural,3
"An ardent lover of literature, I've dedicated the past four years to serious writing endeavors.",Arts,3
I'm highly extroverted and looking to join a fraternity to enhance my social connections.,Social frats,3
"With three years of experience in powerlifting, I'm determined to continue my fitness journey.",Sports,3
I aspire to join an esports team and compete in competitive gaming tournaments.,Gaming,3
"As a Chinese student, I'm eager to engage with the Chinese community on campus.",Ethnic,3
"I'm an avid anime and manga enthusiast, seeking connections with like-minded individuals.",Media,3
"I have a strong passion for leading teams, making me an ideal candidate for student government roles.",Student Government,3
I thrive on rigorous physical activity and seek sports clubs that offer challenging experiences.,Sports,3
I frequently engage with cryptocurrency and am well-versed in blockchain technology.,Blockchain,3
"As a former president of multiple clubs in high school, I'm eager to take on leadership roles at the university level.",Student Government,3
"With extensive participation in sports teams during high school, I'm eager to continue competing.",Sports,3
"I have a deep-seated love for drawing, painting, and sculpting, and I'm eager to further explore these passions.",Arts,3
"With a wealth of experience in football, I'm deeply passionate about the sport and eager to continue playing.",Sports,3
I thrive in leadership positions and have enjoyed being the president of my high school club.,Student Government,3
"As a devout Christian, I'm keen on becoming heavily involved in a religious community on campus.",Religious/Spiritual,3
"After playing soccer in high school, I'm seeking opportunities to join club soccer leagues.",Sports,3
I'm a junior student aiming to gain valuable consulting experience through mock write-ups and networking.,Consulting,3
"After years of competitive dance, I'm looking for a challenge in a competition dance team.",Dance,3
I'm interested in gaining hands-on experience in news reporting and networking with media professionals.,Media,3
I aspire to run for student body president and seek avenues for quick involvement.,Student Government,3
I'm determined to build connections for my startup and engage with potential investors.,Business,3
I'm eager to participate in mission trips and contribute to meaningful community projects.,Community Service,3
I'm seeking opportunities to educate others about my culture and heritage.,Ethnic,3
"As a senior student, I'm looking for prestigious organizations to bolster my career prospects.",Business,3
"After extensive experience in building smaller robots, I'm eager to join robot competitions on campus.",Robotics,3
"After taking a quantum computational class, I'm interested in getting involved in related research.",Computer Science,3
I'm keen on rushing and joining a top fraternity to enhance my college experience.,Social Frats,3
I'm passionate about making short films and aspire to direct a crew for a new project.,Media,3
"With previous hospital experience, I'm eager to volunteer at a local hospital and contribute to patient care.",Medicine,3
I'm interested in exploring special programs available to honors students at UIUC.,Honors,3
I'm interested in applying for student government positions and seeking opportunities to learn more.,Student Government,3
"As a freshman with robotics experience, I'm eager to get involved in UIUC's robotics program.",Robotics,3
I'm a skilled transfer student looking to develop software and seeking relevant groups on campus.,Computer Science,3
I'm looking to invest in cryptocurrency and seeking experienced groups on campus to guide me.,Blockchain,3
I want to practice Spanish for my upcoming midterm and seeking language groups on campus for assistance.,Language,3
I'm a proficient dancer seeking to join a group for a large-scale performance.,Dance,3
"After learning about medical theory, I'm seeking practical application opportunities.",Medicine,3
I've been actively participating in business competitions and I'm seeking similar engagements.,Business,3
"I'm eager to delve deeper into the field of robotics, drawing from my extensive past experience.",Robotics,3
"After completing several accounting courses, I'm enthusiastic about applying my skills in practical settings.",Accounting,3
I have a profound love for food and I'm keen on connecting with others who share this passion.,Eating,3
"Having played soccer throughout high school, I'm interested in continuing my journey with a school team.",Sports,3
I've studied medicine extensively in high school and now I'm eager to get involved in a medicine-related club.,Medicine,3
"With four years of robotics experience in high school, I'm looking to continue my robotics journey in college.",Robotics,3
"As someone who played varsity soccer, I'm determined to find avenues to keep playing.",Sports,3
"After seven years of playing the saxophone, I'm eager to collaborate with other musicians in a band setting.",Music,3
"As an accounting major, I'm interested in joining clubs that align with my field of study.",Accounting,3
"Model UN has been a significant part of my high school experience, and I'm eager to continue in similar RSOs.",Debate,3
I'm deeply interested in Latin American culture and have conducted extensive research on it.,Cultural,3
"An ardent lover of literature, I've dedicated the past four years to serious writing endeavors.",Arts,3
I'm highly extroverted and looking to join a fraternity to enhance my social connections.,Social frats,3
"With three years of experience in powerlifting, I'm determined to continue my fitness journey.",Sports,3
I aspire to join an esports team and compete in competitive gaming tournaments.,Gaming,3
"As a Chinese student, I'm eager to engage with the Chinese community on campus.",Ethnic,3
"I'm an avid anime and manga enthusiast, seeking connections with like-minded individuals.",Media,3
"I have a strong passion for leading teams, making me an ideal candidate for student government roles.",Student Government,3
I thrive on rigorous physical activity and seek sports clubs that offer challenging experiences.,Sports,3
I frequently engage with cryptocurrency and am well-versed in blockchain technology.,Blockchain,3
"As a former president of multiple clubs in high school, I'm eager to take on leadership roles at the university level.",Student Government,3
"With extensive participation in sports teams during high school, I'm eager to continue competing.",Sports,3
"I have a deep-seated love for drawing, painting, and sculpting, and I'm eager to further explore these passions.",Arts,3
"With a wealth of experience in football, I'm deeply passionate about the sport and eager to continue playing.",Sports,3
I thrive in leadership positions and have enjoyed being the president of my high school club.,Student Government,3
"As a devout Christian, I'm keen on becoming heavily involved in a religious community on campus.",Religious/Spiritual,3
"After playing soccer in high school, I'm seeking opportunities to join club soccer leagues.",Sports,3
I'm a junior student aiming to gain valuable consulting experience through mock write-ups and networking.,Consulting,3
"After years of competitive dance, I'm looking for a challenge in a competition dance team.",Dance,3
I'm interested in gaining hands-on experience in news reporting and networking with media professionals.,Media,3
I aspire to run for student body president and seek avenues for quick involvement.,Student Government,3
I'm determined to build connections for my startup and engage with potential investors.,Business,3
I'm eager to participate in mission trips and contribute to meaningful community projects.,Community Service,3
I'm seeking opportunities to educate others about my culture and heritage.,Ethnic,3
"As a senior student, I'm looking for prestigious organizations to bolster my career prospects.",Business,3
"After extensive experience in building smaller robots, I'm eager to join robot competitions on campus.",Robotics,3
"After taking a quantum computational class, I'm interested in getting involved in related research.",Computer Science,3
I'm keen on rushing and joining a top fraternity to enhance my college experience.,Social Frats,3
I'm passionate about making short films and aspire to direct a crew for a new project.,Media,3
"With previous hospital experience, I'm eager to volunteer at a local hospital and contribute to patient care.",Medicine,3
I'm interested in exploring special programs available to honors students at UIUC.,Honors,3
I'm interested in applying for student government positions and seeking opportunities to learn more.,Student Government,3
"As a freshman with robotics experience, I'm eager to get involved in UIUC's robotics program.",Robotics,3
I'm a skilled transfer student looking to develop software and seeking relevant groups on campus.,Computer Science,3
I'm looking to invest in cryptocurrency and seeking experienced groups on campus to guide me.,Blockchain,3
I want to practice Spanish for my upcoming midterm and seeking language groups on campus for assistance.,Language,3
I'm a proficient dancer seeking to join a group for a large-scale performance.,Dance,3
"After learning about medical theory, I'm seeking practical application opportunities.",Medicine,3
I've been actively participating in business competitions and I'm seeking similar engagements.,Business,3
"I'm eager to delve deeper into the field of robotics, drawing from my extensive past experience.",Robotics,3
"After completing several accounting courses, I'm enthusiastic about applying my skills in practical settings.",Accounting,3
I have a profound love for food and I'm keen on connecting with others who share this passion.,Eating,3
"Having played soccer throughout high school, I'm interested in continuing my journey with a school team.",Sports,3
I've studied medicine extensively in high school and now I'm eager to get involved in a medicine-related club.,Medicine,3
"With four years of robotics experience in high school, I'm looking to continue my robotics journey in college.",Robotics,3
"As someone who played varsity soccer, I'm determined to find avenues to keep playing.",Sports,3
"After seven years of playing the saxophone, I'm eager to collaborate with other musicians in a band setting.",Music,3
"As an accounting major, I'm interested in joining clubs that align with my field of study.",Accounting,3
"Model UN has been a significant part of my high school experience, and I'm eager to continue in similar RSOs.",Debate,3
I'm deeply interested in Latin American culture and have conducted extensive research on it.,Cultural,3
"An ardent lover of literature, I've dedicated the past four years to serious writing endeavors.",Arts,3
I'm highly extroverted and looking to join a fraternity to enhance my social connections.,Social frats,3
"With three years of experience in powerlifting, I'm determined to continue my fitness journey.",Sports,3
I aspire to join an esports team and compete in competitive gaming tournaments.,Gaming,3
"As a Chinese student, I'm eager to engage with the Chinese community on campus.",Ethnic,3
"I'm an avid anime and manga enthusiast, seeking connections with like-minded individuals.",Media,3
"I have a strong passion for leading teams, making me an ideal candidate for student government roles.",Student Government,3
I thrive on rigorous physical activity and seek sports clubs that offer challenging experiences.,Sports,3
I frequently engage with cryptocurrency and am well-versed in blockchain technology.,Blockchain,3
"As a former president of multiple clubs in high school, I'm eager to take on leadership roles at the university level.",Student Government,3
"With extensive participation in sports teams during high school, I'm eager to continue competing.",Sports,3
"I have a deep-seated love for drawing, painting, and sculpting, and I'm eager to further explore these passions.",Arts,3
"With a wealth of experience in football, I'm deeply passionate about the sport and eager to continue playing.",Sports,3
I thrive in leadership positions and have enjoyed being the president of my high school club.,Student Government,3
"As a devout Christian, I'm keen on becoming heavily involved in a religious community on campus.",Religious/Spiritual,3
"After playing soccer in high school, I'm seeking opportunities to join club soccer leagues.",Sports,3
I'm a junior student aiming to gain valuable consulting experience through mock write-ups and networking.,Consulting,3
"After years of competitive dance, I'm looking for a challenge in a competition dance team.",Dance,3
I'm interested in gaining hands-on experience in news reporting and networking with media professionals.,Media,3
I aspire to run for student body president and seek avenues for quick involvement.,Student Government,3
I'm determined to build connections for my startup and engage with potential investors.,Business,3
I'm eager to participate in mission trips and contribute to meaningful community projects.,Community Service,3
I'm seeking opportunities to educate others about my culture and heritage.,Ethnic,3
"As a senior student, I'm looking for prestigious organizations to bolster my career prospects.",Business,3
"After extensive experience in building smaller robots, I'm eager to join robot competitions on campus.",Robotics,3
"After taking a quantum computational class, I'm interested in getting involved in related research.",Computer Science,3
I'm keen on rushing and joining a top fraternity to enhance my college experience.,Social Frats,3
I'm passionate about making short films and aspire to direct a crew for a new project.,Media,3
"With previous hospital experience, I'm eager to volunteer at a local hospital and contribute to patient care.",Medicine,3
I'm interested in exploring special programs available to honors students at UIUC.,Honors,3
I'm interested in applying for student government positions and seeking opportunities to learn more.,Student Government,3
"As a freshman with robotics experience, I'm eager to get involved in UIUC's robotics program.",Robotics,3
I'm a skilled transfer student looking to develop software and seeking relevant groups on campus.,Computer Science,3
I'm looking to invest in cryptocurrency and seeking experienced groups on campus to guide me.,Blockchain,3
I want to practice Spanish for my upcoming midterm and seeking language groups on campus for assistance.,Language,3
I'm a proficient dancer seeking to join a group for a large-scale performance.,Dance,3
"After learning about medical theory, I'm seeking practical application opportunities.",Medicine,3
I've been heavily involved in business competitions and I'm eager to continue participating in similar activities.,Business,3
I have a strong interest in robotics and extensive experience in the field.,Robotics,3
"With several accounting courses completed, I'm excited to apply my skills in real-world scenarios.",Accounting,3
I'm a food enthusiast seeking to connect with like-minded individuals who share my passion.,Eating,3
"After playing soccer throughout high school, I'm determined to join a university team.",Sports,3
I've studied medicine extensively and now I'm ready to get involved in related clubs at university.,Medicine,3
"With four years of robotics experience in high school, I'm eager to continue my journey in college.",Robotics,3
"After playing varsity soccer, I'm determined to find opportunities to continue playing in college.",Sports,3
"With seven years of saxophone experience, I'm eager to collaborate with fellow musicians in a band.",Music,3
"As an accounting major, I'm keen on joining clubs that align with my career goals.",Accounting,3
"Model UN has been a significant part of my high school experience, and I'm eager to continue in similar RSOs.",Debate,3
I've conducted extensive research on Latin American culture and I'm deeply interested in learning more.,Cultural,3
"As an ardent lover of literature, I've dedicated the past four years to serious writing endeavors.",Arts,3
I'm highly extroverted and seeking opportunities to enhance my social connections through fraternity involvement.,Social Frats,3
"With three years of powerlifting experience, I'm determined to continue my fitness journey at university.",Fitness,3
I aspire to join an esports team and compete in competitive gaming tournaments at the university level.,Gaming,3
"As a Chinese student, I'm eager to engage with the Chinese community and cultural events on campus.",Ethnic,3
"I'm an avid anime and manga enthusiast, looking to connect with fellow fans and discuss our favorite series.",Media,3
I thrive on leadership roles and I'm passionate about representing student interests in government positions.,Student Government,3
"With extensive sports experience, I'm seeking challenging opportunities to compete in university-level leagues.",Sports,3
I'm well-versed in cryptocurrency and blockchain technology and I'm eager to explore related opportunities on campus.,Blockchain,3
"As a former president of multiple clubs, I'm excited to take on leadership roles and make an impact at the university.",Student Government,3
"With extensive sports participation in high school, I'm determined to continue competing in college-level leagues.",Sports,3
"I have a deep-seated passion for drawing, painting, and sculpting, and I'm eager to further explore these artistic endeavors.",Arts,3
"With a wealth of experience in football, I'm deeply passionate about the sport and eager to continue playing in college.",Sports,3
I excel in leadership positions and have enjoyed being the president of my high school club.,Student Government,3
"As a devout Christian, I'm keen on becoming heavily involved in a religious community and spiritual activities on campus.",Religious/Spiritual,3
"After playing soccer in high school, I'm seeking opportunities to join club soccer leagues at the university level.",Sports,3
I'm a junior student looking to gain valuable consulting experience through mock write-ups and networking events.,Consulting,3
"After years of competitive dance, I'm eager to join a competition dance team and showcase my skills at university.",Dance,3
I'm interested in gaining hands-on experience in news reporting and networking with media professionals on campus.,Media,3
I aspire to run for student body president and I'm seeking opportunities for quick involvement in student government.,Student Government,3
I'm determined to build connections for my startup and engage with potential investors through university-affiliated groups.,Business,3
I'm eager to participate in mission trips and contribute to meaningful community projects through service-oriented organizations.,Community Service,3
"I'm passionate about educating others about my cultural heritage and traditions, and I'm seeking platforms to do so on campus.",Ethnic,3
"As a senior student, I'm looking for prestigious organizations and networking opportunities to advance my career prospects.",Business,3
"After extensive experience in building smaller robots, I'm eager to join robot competitions and showcase my skills at university.",Robotics,3
"After taking a quantum computational class, I'm interested in getting involved in related research projects at the university.",Computer Science,3
I'm looking to rush and join a top fraternity to enhance my college experience and build lifelong connections.,Social Frats,3
I'm passionate about making short films and I aspire to direct a crew for a new project at the university.,Media,3
"With previous hospital experience, I'm eager to volunteer at a local hospital and contribute to patient care initiatives.",Medicine,3
I'm interested in exploring special programs available to honors students and seeking opportunities for academic enrichment.,Honors,3
I'm interested in applying for student government positions and seeking opportunities to learn and contribute to campus governance.,Student Government,3
"As a freshman with robotics experience, I'm eager to get involved in UIUC's robotics program and contribute to innovative projects.",Robotics,3
I'm a skilled transfer student looking to develop software and seeking relevant groups on campus to collaborate with.,Computer Science,3
I'm looking to invest in cryptocurrency and seeking experienced groups on campus to guide me and explore investment opportunities.,Blockchain,3
I want to practice Spanish for my upcoming midterm and I'm seeking language groups on campus for assistance and language exchange.,Language,3
I'm a proficient dancer seeking to join a group for a large-scale performance and collaborate with fellow dancers.,Dance,3
"After learning about medical theory, I'm seeking practical application opportunities and hands-on experience in the field of medicine.",Medicine,3
